TIPO,NOMBRE,DESCRIPCIÓN,LINK
LEY,Ley 20580,"MODIFICA LEY N° 18.290, AUMENTANDO LAS SANCIONES POR MANEJO EN ESTADO DE EBRIEDAD, BAJO LA INFLUENCIA DE SUSTANCIAS ESTUPEFACIENTES O SICOTRÓPICAS, Y BAJO LA INFLUENCIA DEL ALCOHOL",https://www.bcn.cl/leychile/navegar?idNorma=1037847
LEY,Ley 20584,REGULA LOS DERECHOS Y DEBERES QUE TIENEN LAS PERSONAS EN RELACIÓN CON ACCIONES VINCULADAS A SU ATENCIÓN DE SALUD,https://www.bcn.cl/leychile/navegar?idNorma=1039348
LEY,Ley 20585,SOBRE OTORGAMIENTO Y USO DE LICENCIAS MÉDICAS,https://www.bcn.cl/leychile/navegar?idNorma=1039952
LEY,Ley 20607,"MODIFICA EL CÓDIGO DEL TRABAJO, SANCIONANDO LAS PRÁCTICAS DE ACOSO LABORAL",https://www.bcn.cl/leychile/navegar?idNorma=1042709
LEY,Ley 20609,ESTABLECE MEDIDAS CONTRA LA DISCRIMINACIÓN,https://www.bcn.cl/leychile/navegar?idNorma=1042092
LEY,Ley 20660,MODIFICA LEY Nº 19.419 EN MATERIA DE AMBIENTES LIBRES DE HUMO DE TABACO,https://www.bcn.cl/leychile/navegar?idNorma=1047848
LEY,Ley 20764,"MODIFICA EL CÓDIGO DEL TRABAJO EN MATERIA DE PROTECCIÓN A LA MATERNIDAD, LA PATERNIDAD Y LA VIDA FAMILIAR Y ESTABLECE UN PERMISO POR MATRIMONIO DEL TRABAJADOR",https://www.bcn.cl/leychile/navegar?idNorma=1064513
LEY,LEY 20769,MODIFICA EL CÓDIGO DEL TRABAJO OTORGANDO PERMISO A TRABAJADORAS Y TRABAJADORES PARA EFECTUARSE EXÁMENES DE MAMOGRAFÍA Y DE PRÓSTATA RESPECTIVAMENTE,https://www.bcn.cl/leychile/navegar?idNorma=1066873
LEY,LEY 20770,"MODIFICA LA LEY DEL TRÁNSITO, EN LO QUE SE REFIERE AL DELITO DE MANEJO EN ESTADO DE EBRIEDAD, CAUSANDO LESIONES GRAVES, GRAVÍSIMAS O CON RESULTADO DE MUERTE",https://www.bcn.cl/leychile/navegar?idNorma=1066775
LEY,Ley 20820,CREA EL MINISTERIO DE LA MUJER Y LA EQUIDAD DE GÉNERO Y MODIFICA NORMAS LEGALES QUE INDICA,https://www.bcn.cl/leychile/navegar?idNorma=1075613
LEY,Ley 20920,"ESTABLECE MARCO PARA LA GESTIÓN DE RESIDUOS, LA RESPONSABILIDAD EXTENDIDA DEL PRODUCTOR Y FOMENTO AL RECICLAJE",https://www.bcn.cl/leychile/navegar?idNorma=1090894
LEY,Ley 20949,MODIFICA EL CÓDIGO DEL TRABAJO PARA REDUCIR EL PESO DE LAS CARGAS DE MANIPULACIÓN MANUAL,https://www.bcn.cl/leychile/navegar?idNorma=1094899
LEY,Ley 21010,"EXTIENDE Y MODIFICA LA COTIZACIÓN EXTRAORDINARIA PARA EL SEGURO SOCIAL CONTRA RIESGOS DE ACCIDENTES DEL TRABAJO Y ENFERMEDADES PROFESIONALES, Y CREA EL FONDO QUE FINANCIARÁ EL SEGURO PARA EL ACOMPAÑAMIENTO DE LOS NIÑOS Y NIÑAS",https://www.bcn.cl/leychile/navegar?idNorma=1102293
LEY,Ley 21012,GARANTIZA SEGURIDAD DE LOS TRABAJADORES EN SITUACIONES DE RIESGO Y EMERGENCIA,https://www.bcn.cl/leychile/navegar?idNorma=1103798
LEY,Ley 21054,"MODIFICA LA LEY N° 16.744, QUE ESTABLECE NORMAS SOBRE ACCIDENTES DEL TRABAJO Y ENFERMEDADES PROFESIONALES, CON EL OBJETO DE ELIMINAR LA DISTINCIÓN ENTRE EMPLEADOS Y OBREROS",https://www.bcn.cl/leychile/navegar?idNorma=1112814
LEY,Ley 21103,"MODIFICA LA LEY DE TRÁNSITO, EN LO RELATIVO A LA VELOCIDAD MÁXIMA DE CIRCULACIÓN EN ZONAS URBANAS",https://www.bcn.cl/leychile/navegar?idNorma=1121440
LEY,Ley 21275,"MODIFICA EL CÓDIGO DEL TRABAJO, PARA EXIGIR DE LAS EMPRESAS PERTINENTES LA ADOPCIÓN DE MEDIDAS QUE FACILITEN LA INCLUSIÓN LABORAL DE LOS TRABAJADORES CON DISCAPACIDAD",https://www.bcn.cl/leychile/navegar?idNorma=1150763
LEY,Ley 21347,CREA UN PERMISO LABORAL PARA QUE TODO TRABAJADOR PUEDA SER VACUNADO EN LOS CASOS QUE INDICA,https://www.bcn.cl/leychile/navegar?idNorma=1160623
LEY,Ley 21377,"MODIFICA LA LEY Nº 18.290, DE TRÁNSITO, CON EL OBJETO DE AUMENTAR LA SANCIÓN POR EL USO DE DISPOSITIVOS DE TELEFONÍA MÓVIL O CUALQUIER OTRO ARTEFACTO ELECTRÓNICO O DIGITAL DURANTE LA CONDUCCIÓN DE UN VEHÍCULO MOTORIZADO",https://www.bcn.cl/leychile/navegar?idNorma=1166274
